Frame,Reps,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,Form Quality,Error_Hip_Depth,Error_Back_Straightness,Error_Knee_Caving
145,1,86.691980646958,106.54726947170629,61.69855586488746,67.85891306004781,100,1,1,1
146,1,86.84023965769471,106.58784345734774,62.18258177588111,67.9459205988775,100,1,1,1
147,1,86.0521012211183,106.00602329405591,61.89087638954347,67.40880017560127,100,1,1,1
148,1,84.86156356673823,105.50571134411717,61.28178871482408,66.6235291672035,100,1,1,1
149,1,84.48312320278953,104.39588234334748,61.233876351256875,65.904041954723,100,1,1,1
150,1,84.2185538262816,104.0182194804399,61.12670865082805,65.80635455066293,100,1,1,1
151,1,84.43113647659061,104.8243230268663,61.551695346774935,66.488800371376,100,1,1,1
152,1,84.46854846842665,105.76794410653204,61.813062971923266,67.63395271700345,100,1,1,1
153,1,84.26754792668741,105.69502192859746,61.7838558837983,67.4812731351526,100,1,1,1
154,1,84.05509101446926,107.09428597344542,61.54507999469851,68.3018448708881,100,1,1,1
155,1,84.14069126183539,108.33316224115438,61.61545726875528,69.539341624488,100,1,1,1
156,1,84.35415765894152,108.3029733606916,61.69772910594644,69.40371397971087,100,1,1,1
157,1,84.41855691720006,108.35494654785342,61.637270670090686,69.53866720925055,100,1,1,1
158,1,84.48062106633026,108.5086793175816,61.61735483397709,69.71050803312957,100,1,1,1
159,1,84.29533957864993,108.28560486540346,61.623707641697806,69.65058831804859,100,1,1,1
160,1,84.04210727571864,107.98984964047436,61.60316094376271,69.60064373244059,100,1,1,1
161,1,83.76315591037753,107.54651482567473,61.37327355069423,69.25900169702395,100,1,1,1
162,1,84.31868270000737,107.45208668988106,61.80786827729388,69.2071786691622,100,1,1,1
163,1,84.84043744747112,107.80022376032228,62.28081166276594,69.69204963810138,100,1,1,1
164,1,85.240865230932,109.35805915219157,62.78488110544286,71.49712162722028,100,1,1,1
165,1,85.10132722514341,110.03069261330153,62.75989017376878,72.1169525722881,100,1,1,1
166,1,85.20908043932909,110.71440944429729,62.82560867781475,72.55984800232804,100,1,1,1
167,1,85.34952067104469,110.9885650417452,62.91558029332623,72.9432151648854,100,1,1,1
168,1,85.19761134593284,110.83760652265386,62.7665873938633,72.69182705872625,100,1,1,1
169,1,85.21467681578662,110.8741736522001,62.58270259179119,72.62766251932892,100,1,1,1
170,1,85.18376123968025,111.03049225047175,62.11003027175361,72.33956028930587,100,1,1,1
171,1,85.3321866001189,111.52689916037195,61.845740222880494,72.14229539298148,100,1,1,1
172,1,86.08588953975469,112.00719248147988,61.77851722818054,71.96038276967121,100,1,1,1
173,1,86.50425244055162,112.71769437195496,61.45337031701335,71.6537522129196,100,1,1,1
174,1,87.58123780686488,113.47892537116324,61.14652429146912,71.63370571230371,100,1,1,1
175,1,88.96990741937711,114.37925335356745,61.33676639611469,71.88797781989012,100,1,1,1
176,1,91.66078099218828,116.55565509255185,62.057066093336545,72.29574664116133,100,1,1,1
177,1,94.00018824037076,118.77689866153943,62.12768930035511,72.67796864801569,100,1,1,1
178,1,97.17047725555405,123.28560686756514,62.83299340899544,74.84574781807943,100,1,1,1
179,1,100.07527001592217,126.46548690495374,63.54397894960579,75.83963272453204,100,1,1,1
180,1,104.04953929172191,131.72666499185243,65.0402004395833,77.85985622672554,100,1,1,1
181,1,106.86448385120133,135.01623217571859,65.86555847190392,78.81674013763693,100,1,1,1
182,1,110.10285241557665,138.71253374091737,67.04408244400643,79.68063779489354,100,1,1,1
183,1,112.56241989760808,143.30550798532505,68.07194447350867,81.84473686297221,100,1,1,1
184,1,117.0104702720063,148.39334679355397,69.2388062603112,86.29071503306372,100,1,1,1
185,1,121.74363765539194,155.86833522525424,70.98585037584725,89.71142383408089,100,1,1,1
186,1,127.65417130068613,162.4578945544835,74.32910701694334,93.90782261501637,100,1,1,1
187,1,135.90454229962725,172.48243069528465,77.67858677012478,99.0766169299859,100,1,1,1
188,1,141.33854366608014,177.93072996956516,80.34452114020681,101.80140516843912,100,1,1,0
189,1,145.73729337445516,177.8391658745937,81.88504291484796,103.37304602755141,100,1,1,0
190,1,150.70438523583044,175.4899650348252,83.4141720906566,103.46097673381917,100,1,1,0
191,1,157.62670780876132,168.34199359485262,85.98358154397272,108.54282853110739,100,1,1,0
192,1,162.1155454389018,166.3235995230597,87.3024396754749,110.59937718659002,100,1,0,0
193,1,167.02891922639074,161.43913123204817,89.66706701836685,113.1756087020516,100,1,0,0
194,1,171.03308560156987,157.14665998053235,91.27913079043462,116.15397278423985,100,1,0,0
195,1,171.32156160839295,154.1885323476017,89.87112219581142,116.50727834121373,100,1,0,0
196,1,172.63229474251406,150.28060620136506,89.54478348402863,120.55398938578404,100,1,0,0
197,1,174.2845900830848,146.65645025957042,89.47021475253254,121.54508173458207,100,1,0,0
198,1,175.91076222629002,146.41145896656334,90.80406952252966,120.72682251024865,100,1,0,0
199,1,176.12462512604017,146.19060193978763,90.77842701305654,119.85409629017039,100,1,0,0
200,1,176.87873289697455,145.81282839332883,91.5366519428727,119.81116478071417,100,1,0,0
201,1,179.35198280061385,144.92929779455554,92.69995629610187,120.371633788324,100,1,0,0
202,1,179.03770167037584,142.5554287571722,93.11244340855455,121.42225093421901,100,1,0,0
203,1,177.15978865090577,144.47276460596336,95.07021833702989,118.3421778184989,100,1,0,0
204,1,176.70747433813378,141.1808215592835,95.44275239657813,122.54758694283791,100,1,0,0
205,1,177.1087261898691,141.0570252639009,94.68642791880073,122.75305063682259,100,1,0,0
206,1,176.23393189370947,140.29859388992028,95.28831115795117,125.2066710405146,100,1,0,0
207,1,176.80151013966687,140.09295589938662,94.48160112393234,124.35971826318494,100,1,0,0
208,1,178.0011799450729,140.86282522833815,93.17644836361876,122.43391379440088,100,1,0,0
209,1,178.1675738755322,140.3711015579588,92.65901265933209,120.57153613890566,100,1,0,0
210,1,178.77146569521975,139.19664706320714,91.76946082193005,120.88143270797694,100,1,0,0
211,1,179.64415779264505,139.83338932456633,90.84163375667092,121.57530126144067,100,1,0,0
212,1,177.28634096015537,140.57422574167867,89.26104745102747,121.73799435357343,100,1,0,0
213,1,174.56224729827656,141.37391742862835,88.87007324139857,121.24149611148323,100,1,0,0
214,1,173.12502243043986,140.83538495077283,88.09219906407715,120.45075125168317,100,1,0,0
215,1,172.73796369273765,141.35594975724246,87.44297401972683,118.62561943186844,100,1,0,0
216,1,169.94404197769938,142.93145164989332,86.11499873296789,117.74687462070409,100,1,0,0
217,1,167.097678014212,145.59833969332036,85.62635486935552,116.2799375400448,100,1,0,0
218,1,163.86678422594795,147.14191331049105,85.20053650342003,115.89681049030355,100,1,0,0
219,1,161.43273898229998,149.81900781318618,84.47775313113576,113.5955469165418,100,1,0,0
220,1,158.71355591859538,152.76042813305799,83.23594773778194,111.46120316171147,100,1,1,0
221,1,156.3928331519941,154.82151158505602,82.44779750292327,112.2188350438959,100,1,1,0
222,1,155.36818285786197,157.83071017399462,82.27833592378126,110.70511813772303,100,1,1,0
223,1,153.46127360033256,158.48180865938218,82.30165238452197,114.9451004661703,100,1,1,0
224,1,152.36885709540022,161.06127896024512,82.45611458884851,117.51099673414951,100,1,1,0
225,1,149.49115150963493,165.26728560273474,82.29147439439105,112.38297462933589,100,1,1,0
226,1,147.11052892002758,169.61562225461702,81.36355620359467,108.51761915366237,100,1,1,0
227,1,144.74442099124465,174.2347057083651,81.21819771265272,104.22625246654518,100,1,1,0
228,1,141.8239126836072,175.3435211040574,79.3095655614187,102.48870914015419,100,1,1,1
229,1,139.66988335788324,176.4422592038875,77.67714790308554,102.66376960064805,100,1,1,1
230,1,137.84972103947226,177.50983270505878,76.28460779658566,102.5936174316168,100,1,1,1
231,1,135.13152972070105,179.50131877943542,74.8401960378346,103.54592883457427,100,1,1,1
232,1,133.20043081944175,177.0008039332953,73.90136226379873,102.39870304271585,100,1,1,1
233,1,131.0644912908355,172.91445860196478,72.86443624751116,99.44236902224985,100,1,1,1
234,1,129.72245950659988,170.00436985799803,72.45437296572848,97.68662950465716,100,1,1,1
235,1,128.23937169338168,167.7525467411891,72.18893421949977,98.82262757735863,100,1,1,1
236,1,126.1493484139191,164.1213196656224,71.44845510195739,96.29593735075821,100,1,1,1
237,1,124.06879984169602,160.87453462191303,70.874689770871,94.08995480351783,100,1,1,1
238,1,123.33983623879851,158.68916901204815,71.33352625200861,92.78668804700511,100,1,1,1
239,1,122.08192303114988,156.6044059762977,71.19682286390612,92.3282362416866,100,1,1,1
240,1,121.13013423205201,155.6244757906362,70.57068548928451,91.17475767384458,100,1,1,1
241,1,118.03519994727596,153.20457780878422,68.96402515684497,88.53964888928873,100,1,1,1
242,1,117.78092432757903,151.74028869776728,69.09007716126604,88.3841751493903,100,1,1,1
243,1,115.79966907950936,149.84021383349625,68.21516106972636,88.06693319420006,100,1,1,1
244,1,114.94181339360951,144.58165254337803,68.25004797941428,84.93299822173114,100,1,1,1
245,1,111.92984571960503,140.5074655614672,67.11812817870083,85.24227907233808,100,1,1,1
246,1,112.10313331241308,141.1047020565867,67.43482516542937,84.08279454812693,100,1,1,1
247,1,110.93897689190965,139.8738092245629,67.324901638108,83.36610704999691,100,1,1,1
248,1,109.37630480321045,139.32514837482725,67.22203030772165,82.87407505705457,100,1,1,1
249,1,109.00181608792882,138.6894904993542,67.69941107991534,82.03152171230172,100,1,1,1
250,1,108.12466805405974,135.9748487666884,68.67291246994394,80.54251348541399,100,1,1,1
251,1,107.47891245331351,135.88819246600477,69.03232480770951,81.42886032264126,100,1,1,1
252,1,107.46092089965033,133.06861228661487,70.9296122357381,80.62352950937859,100,1,1,1
253,1,105.14654975178958,131.12439548180612,69.57037400104795,80.16311306970995,100,1,1,1
254,1,103.56699473056185,130.5899720009977,68.87320037267048,80.94611815108411,100,1,1,1
255,1,102.84406559743387,131.50259553595575,68.46056635019795,82.4698145972792,100,1,1,1
256,1,101.30692653775372,129.21915499653258,67.84636591054247,81.41880544265562,100,1,1,1
257,1,100.02536863093265,129.36317569541026,67.36809047873547,82.12888258489096,100,1,1,1
258,1,99.39832828100434,128.11141506344137,67.2572883760056,81.10685627457481,100,1,1,1
259,1,99.20630081203127,128.08536066016302,67.9377872971368,81.67831877898469,100,1,1,1
260,1,98.35052078140218,126.04320312266613,67.67767037402768,79.64214068610482,100,1,1,1
261,1,98.193637666911,125.71216919877581,68.0181526738131,79.43489968431487,100,1,1,1
262,1,97.04367895460065,123.80905149903684,67.40410085591313,77.76546979170132,100,1,1,1
263,1,95.77876668722251,122.78345491429359,67.10785391360677,77.26105131396291,100,1,1,1
264,1,95.67689330933396,122.57665155397265,66.97382330433031,77.1291968410395,100,1,1,1
265,1,95.48570336513471,121.29706426123771,66.89151640501316,75.59530975838773,100,1,1,1
266,1,95.3679141919778,121.23066274816917,66.85498563661201,75.6240993194679,100,1,1,1
267,1,95.71251890607519,120.89132135863748,67.4841461427005,75.76189044357527,100,1,1,1
268,1,95.382572412604,120.04464651078786,67.51441029833194,75.23460230224917,100,1,1,1
269,1,95.26332783194528,120.00288846983679,68.07061675048949,75.42519129104805,100,1,1,1
270,1,94.17901054243684,118.52702058939707,67.9347697041849,74.44360682207466,100,1,1,1
271,1,93.82066418519851,116.52447311525641,68.33943443976305,72.68580097478838,100,1,1,1
272,1,93.27474693703812,116.39419629748309,68.31019664608453,73.78679406934884,100,1,1,1
273,1,93.03829446093958,115.75877841902035,68.48724831578424,73.721644479907,100,1,1,1
274,1,92.54579606739581,115.60913084077798,68.36678740000268,73.86002116211662,100,1,1,1
275,1,92.01252320650333,114.95730337914672,68.16693070664982,73.36950554457763,100,1,1,1
276,1,91.78287358525903,114.7251822758432,67.97331809166538,73.47486368262815,100,1,1,1
277,1,91.20721898946209,114.53554340348465,67.7532018027094,73.69716885903071,100,1,1,1
278,1,90.83611935993916,113.80010713690811,67.5559364763966,73.5799060766773,100,1,1,1
279,1,90.31349326382707,113.22221584220976,67.14018343912277,73.36408907287746,100,1,1,1
280,1,90.03814137800666,112.93299048153621,66.92088289295573,73.54874119739313,100,1,1,1
281,1,89.74764238157896,112.61455411824677,66.74267050579704,73.58808925307794,100,1,1,1
282,2,89.15428021825701,112.15619320593044,66.2048017029621,73.3768838353563,100,1,1,1
283,2,88.85174956304162,111.58987694833756,66.14081586120527,73.15555567863385,100,1,1,1
284,2,88.85774991008242,111.57151645089154,66.174209843585,73.43930010318428,100,1,1,1
285,2,88.95293522892705,111.92225833919211,66.19754662183388,73.8669606603225,100,1,1,1
286,2,89.00210073911873,112.44688707873101,66.18088371198452,74.41962026998095,100,1,1,1
287,2,89.23974040877675,113.79039448835081,66.35194042333538,76.07984704025618,100,1,1,1
288,2,89.39163855724969,114.30843980798849,66.39491807488507,76.78009524192662,100,1,1,1
289,2,89.47956938778844,114.74681028587524,66.4104349696581,77.36721973208674,100,1,1,1
290,2,89.70040498027491,115.05304327384471,66.54930408761541,77.74366097114813,100,1,1,1
291,2,89.81677783259539,115.18324801732321,66.61777614120707,77.89722784905389,100,1,1,1
292,2,89.92218129464437,115.0611416426801,66.79902389746708,77.88957890447483,100,1,1,1
293,2,90.14334155188376,114.32887781291039,67.11553230643781,77.62118830077797,100,1,1,1
294,2,90.05613032835151,113.59260909728252,67.28571025270872,77.42646322738315,100,1,1,1
295,2,90.10577465728284,113.50096277354722,67.37051702298102,77.41719198822007,100,1,1,1
296,2,90.45735558770511,114.19587784018485,67.64415504028813,77.73223894446942,100,1,1,1
297,2,90.55910316204377,114.57111009884348,67.55712974671268,77.5878141080748,100,1,1,1
298,2,90.87302071564363,114.8442889221909,67.26981297850782,77.24513991887828,100,1,1,1
299,2,91.88100854636255,117.09989867588598,67.28434360542646,77.97973814842918,100,1,1,1
300,2,93.0269257072923,119.35281317435435,67.27526778736356,78.11209284314798,100,1,1,1
301,2,94.94818225787256,121.37202257695185,66.87527066748493,78.39531546428223,100,1,1,1
302,2,97.78323616051173,124.15078333913502,67.54255041830802,79.25226943594302,100,1,1,1
303,2,99.16761107398595,125.73718895098358,66.72922966576591,78.19448537145128,100,1,1,1
304,2,102.13952353983602,129.61616824345924,67.63096829283647,79.92711945940596,100,1,1,1
305,2,105.47347810265114,134.42956314735764,68.35114962527484,82.24861747903358,100,1,1,1
306,2,109.04430646328245,138.57439634414422,68.90562849049931,84.3664850879917,100,1,1,1
307,2,114.74484977015712,142.9465045194063,71.29218835806506,86.76511013886811,100,1,1,1
308,2,121.05026127438458,149.98920884406274,73.60032327383175,101.5362312814664,100,1,1,1
309,2,128.03861490301009,156.98685248363213,76.29453109047385,98.66709360072015,100,1,1,1
310,2,132.23934577496163,164.27573952264277,77.914039043346,100.80018718480615,100,1,1,1
311,2,136.4604554614315,169.51048915831785,79.1026408599725,101.6869232965436,100,1,1,1
312,2,141.12831934415655,175.94736760580508,81.35867447343166,105.04138805979774,100,1,1,0
